keroml_id,mixture_id,mixture_name,cetane_number_val,cn_less_branch,cn_mean_branch,cn_more_branch,cn_branch_span
KERO_TRDS_A0_000132,CHTA_MXTR_A0_00361,POSF 12731 (Jet A),,50.39578434514832,46.23428132878959,42.072778312430856,8.323006032717466
KERO_TRDS_A0_000133,CHTA_MXTR_A0_00362,POSF 12732 (JP-8),,51.91547966083297,47.607411434431974,43.29934320803097,8.616136452802003
KERO_TRDS_A0_000134,CHTA_MXTR_A0_00363,POSF 12751 (ATJ/Jet A blend),,52.17201404777012,46.80540339567163,41.438792743573146,10.733221304196974
KERO_TRDS_A0_000135,CHTA_MXTR_A0_00364,POSF 12752 (RP-1),,50.98241930710182,43.09326173433248,35.20410416156314,15.778315145538684
KERO_TRDS_A0_000136,CHTA_MXTR_A0_00365,POSF 12754 (Blend | ATJ / Jet A Blend),,50.72636428251855,44.73367711827549,38.74098995403243,11.985374328486124
KERO_TRDS_A0_000137,CHTA_MXTR_A0_00366,POSF 12765,,58.56928795246069,52.76169285264515,46.954097752829604,11.615190199631087
KERO_TRDS_A0_000138,CHTA_MXTR_A0_00367,POSF 12782 (JP-8),,52.72022527353749,48.11539254450178,43.51055981546608,9.209665458071406
KERO_TRDS_A0_000139,CHTA_MXTR_A0_00368,POSF 12784 (Jet A),,50.32928858258126,45.90290357727111,41.47651857196095,8.852770010620311
KERO_TRDS_A0_000140,CHTA_MXTR_A0_00369,POSF 12785,,68.11837649328866,62.69294088201792,57.26750527074718,10.850871222541485
KERO_TRDS_A0_000141,CHTA_MXTR_A0_00370,POSF 12804 (JP-5),,53.20578454759629,48.24076547396141,43.27574640032653,9.930038147269755
KERO_TRDS_A0_000142,CHTA_MXTR_A0_00371,POSF 12831 (Jet A),,50.67817068006415,46.33468278529753,41.991194890530906,8.686975789533243
KERO_TRDS_A0_000143,CHTA_MXTR_A0_00372,POSF 12843 (F-24),,50.05180221261607,45.591797459039356,41.131792705462644,8.920009507153424
